Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Number of Premises Baited,Number of Premises with Garbage,Number of Premises with Rats,Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
05/01/2015,Completed,05/05/2015,15-01723709,Rodent Baiting/Rat Complaint,2,4,3,Dispatch Crew,Inspected and baited,1901 W 23RD ST,60608,1164052.37001548,1888766.29000755,25,10,31,41.85039867821712,-87.67338495935145,"(41.850398678217, -87.673384959351)"
05/01/2015,Completed,05/07/2015,15-01735087,Rodent Baiting/Rat Complaint,8,5,10,Dispatch Crew,Inspected and baited,8129 S MARSHFIELD AVE,60620,1166756.35641175,1850802.71329913,21,6,71,41.746164712642596,-87.66454491039588,"(41.746164712643, -87.664544910396)"
05/01/2015,Completed,05/06/2015,15-01724666,Rodent Baiting/Rat Complaint,1,4,1,Dispatch Crew,Inspected and baited,1801 S FAIRFIELD AVE,60608,1158310.81682041,1891265.26523366,28,10,29,41.85737528490683,-87.694389279737,"(41.857375284907, -87.694389279737)"
05/01/2015,Completed,05/05/2015,15-01719146,Rodent Baiting/Rat Complaint,0,7,1,Dispatch Crew,"Area inspected, no cause and no baiting",2838 W MORSE AVE,60645,1156186.24591516,1945643.66947572,50,24,2,42.00663675409784,-87.7007149348958,"(42.006636754098, -87.700714934896)"
05/01/2015,Completed,05/05/2015,15-01723399,Rodent Baiting/Rat Complaint,1,7,2,Dispatch Crew,Inspected and baited,2019 N BINGHAM ST,60647,1159123.15969932,1913287.61183255,1,14,22,41.91778994783491,-87.690802231091,"(41.917789947835, -87.690802231091)"
05/01/2015,Completed - Dup,05/05/2015,15-01725544,Rodent Baiting/Rat Complaint,,,,,,6310 W HENDERSON ST,60634,1133737.34681374,1921605.90947341,36,16,17,41.9411003511178,-87.78387620311857,"(41.941100351118, -87.783876203119)"
05/01/2015,Completed,05/07/2015,15-01734195,Rodent Baiting/Rat Complaint,0,6,1,Dispatch Crew,"Area inspected, no cause and no baiting",3800 N PULASKI RD,60641,1149050.10099976,1924964.02997199,30,17,16,41.95003217659545,-87.72750815808165,"(41.950032176595, -87.727508158082)"
05/01/2015,Completed,05/04/2015,15-01720346,Rodent Baiting/Rat Complaint,0,6,0,Dispatch Crew,"Area inspected, no cause and no baiting",6353 S OAKLEY AVE,60636,1162162.31858259,1862462.55857944,15,8,66,41.77825775983176,-87.68105457201011,"(41.778257759832, -87.68105457201)"
05/01/2015,Completed,05/04/2015,15-01723960,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,"Area inspected, no cause and no baiting",6300 S RACINE AVE,60636,1169400.82609055,1863010.78632514,16,7,67,41.77960843080502,-87.65450197427178,"(41.779608430805, -87.654501974272)"
05/01/2015,Completed,05/05/2015,15-01722673,Rodent Baiting/Rat Complaint,2,5,3,Dispatch Crew,Inspected and baited,5163 W BLOOMINGDALE AVE,60639,1141743.74407629,1911480.51016849,37,25,25,41.91317061721434,-87.75470036308911,"(41.913170617214, -87.754700363089)"
