SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,Boundaries - Wards (2023-)
SR22-02210400,Business Complaints,RBL,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/30/2022 05:53:29 PM,01/13/2023 12:25:08 PM,01/13/2023 12:25:08 PM,2604 W DEVON AVE,,,,2604,W,DEVON,AVE,false,false,,,2,50,,J006,1,24,2412,19,,17,6,12,1157743.708605486,1942473.922538208,41.997915001,-87.6950775,"(41.99791500094087, -87.69507750000191)",12,20,4450,41,27,50
SR22-02209913,Business Complaints,RBL,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/30/2022 03:48:41 PM,04/04/2023 08:23:15 AM,04/04/2023 08:23:13 AM,178 N WABASH AVE,,,,178,N,WABASH,AVE,false,false,,,32,42,,Q022,1,01,0111,10,,15,6,12,1176676.901957203,1901618.055131816,41.885397001,-87.6266685,"(41.88539700094046, -87.6266685000019)",42,38,14309,580,36,42
SR22-02204897,Business Complaints,RBL,,BACP - Business Affairs and Consumer Protection,Completed,Mobile Device,12/29/2022 08:39:10 PM,01/18/2023 03:10:17 PM,01/18/2023 03:10:17 PM,6020 W NORTH AVE,,,,6020,W,NORTH,AVE,false,false,,,25,29,,A018,1,25,2513,15,,20,5,12,1135914.813979395,1910084.659776688,41.909454001,-87.776154,"(41.90945400094055, -87.77615400000191)",2,26,22615,597,7,29
SR22-02204520,Business Complaints,RBL,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/29/2022 06:50:37 PM,12/30/2022 09:55:10 PM,12/30/2022 09:55:10 PM,3466 N CLARK ST,,,,3466,N,CLARK,ST,false,false,,,6,44,,N014,2,19,1924,38,,18,5,12,1168740.88581481,1923325.464420719,41.945139001,-87.6551805,"(41.945139000940685, -87.65518050000192)",22,57,4449,710,25,44
SR22-02204399,Business Complaints,RBL,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/29/2022 06:27:20 PM,12/30/2022 01:00:07 PM,12/30/2022 01:00:07 PM,2456 S KEDZIE AVE,,,,2456,S,KEDZIE,AVE,false,false,,,30,25,,H027,2,10,1024,14,,18,5,12,1155327.04146621,1887270.337833145,41.846481001,-87.7054545,"(41.84648100094033, -87.70545450000192)",57,32,21569,291,1,25
SR22-02204120,Business Complaints,RBL,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/29/2022 05:35:34 PM,12/30/2022 09:55:08 PM,12/30/2022 09:55:08 PM,1925 W CORTLAND ST,,,,1925,W,CORTLAND,ST,false,false,,,22,32,,L018,3,14,1434,31,,17,5,12,1163104.6411295,1912572.972658067,41.915754001,-87.6762,"(41.915754000940545, -87.6762000000019)",4,23,21560,179,40,32
SR22-02203487,Business Complaints,RBL,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/29/2022 03:36:53 PM,01/04/2023 11:25:09 AM,01/04/2023 11:25:09 AM,106 E 47TH ST,,,,106,E,47TH,ST,false,false,,,38,3,,Q032,1,02,0215,1,,15,5,12,1178062.454805381,1873987.354322879,41.809545001,-87.6224205,"(41.80954500094021, -87.62242050000194)",36,4,4301,354,9,8
SR22-02201505,Business Complaints,RBL,Alderman,BACP - Business Affairs and Consumer Protection,Completed,Alderman's Office,12/29/2022 11:37:28 AM,01/06/2023 06:15:12 PM,01/06/2023 06:15:12 PM,2820 W 82ND ST,,,,2820,W,82ND,ST,false,false,,,70,18,,I041,3,08,0835,4,,11,5,12,1158890.33731809,1850203.005222078,41.744691001,-87.69339,"(41.74469100093999, -87.69339000000191)",8,69,4300,243,30,18
SR22-02200236,Business Complaints,RBL,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/29/2022 08:58:13 AM,01/20/2023 10:45:13 AM,01/20/2023 10:45:13 AM,6200 N HIAWATHA AVE,,,,6200,N,HIAWATHA,AVE,false,false,,,12,39,,D007,2,16,1621,15,,8,5,12,1142822.775159432,1940793.181650277,41.993595001,-87.750009,"(41.99359500094083, -87.75000900000191)",18,12,22532,782,38,39
SR22-02198187,Business Complaints,RBL,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/28/2022 06:04:54 PM,01/18/2023 03:05:06 PM,01/18/2023 03:05:06 PM,8032 S RACINE AVE,,,,8032,S,RACINE,AVE,false,false,,,71,17,,M041,1,06,0612,54,,18,4,12,1169664.014937533,1851367.906400992,41.747661001,-87.65388,"(41.74766100093998, -87.65388000000192)",59,70,21554,575,13,17
