SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,Boundaries - Wards (2023-)
SR22-02211209,Low Water Pressure Complaint,WBK,,DWM - Department of Water Management,Completed,Internet,12/30/2022 10:57:16 PM,03/01/2023 01:32:13 PM,03/01/2023 01:32:13 PM,3805 S HONORE ST,,,,3805,S,HONORE,ST,false,false,,,59,12,,L030,1,09,0912,19,,22,6,12,1164726.083168322,1879420.325084939,41.824746001,-87.6711825,"(41.82474600094025, -87.67118250000192)",37,56,14924,720,1,12
SR22-02210889,Low Water Pressure Complaint,WBK,,DWM - Department of Water Management,Completed,Internet,12/30/2022 08:23:51 PM,01/17/2023 11:34:53 AM,01/17/2023 11:34:53 AM,747 N THROOP ST,,,,747,N,THROOP,ST,false,false,,,24,27,,M021,1,12,1215,7,,20,6,12,1167518.311029298,1905326.037279286,41.895774001,-87.6601935,"(41.89577400094053, -87.6601935000019)",49,25,22620,521,46,27
SR22-02210878,Low Water Pressure Complaint,WBK,,DWM - Department of Water Management,Completed,Internet,12/30/2022 08:18:16 PM,01/15/2023 07:14:17 PM,01/15/2023 07:14:17 PM,1925 W ARMITAGE AVE,,,,1925,W,ARMITAGE,AVE,false,false,,,22,32,,L018,3,14,1434,31,,20,6,12,1163087.392966999,1913225.521137452,41.917545001,-87.676245,"(41.91754500094055, -87.6762450000019)",4,23,21560,179,40,32
SR22-02210610,Low Water Pressure Complaint,WBK,,DWM - Department of Water Management,Completed,Internet,12/30/2022 06:50:31 PM,01/04/2023 12:52:19 PM,01/04/2023 12:52:19 PM,8607 S MARYLAND AVE,,,,8607,S,MARYLAND,AVE,false,false,,,44,8,,S042,3,06,0632,40,,18,6,12,1183467.486178454,1848047.061480202,41.738238001,-87.6034035,"(41.73823800093993, -87.60340350000192)",61,40,21546,141,35,10
SR22-02210176,Low Water Pressure Complaint,WBK,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/30/2022 04:51:04 PM,01/07/2023 11:26:33 AM,01/07/2023 11:26:33 AM,4254 W FULLERTON AVE,,,,4254,W,FULLERTON,AVE,false,false,,,20,31,,F016,2,25,2524,41,,16,6,12,1147387.282301346,1915757.28257954,41.924808001,-87.733863,"(41.92480800094061, -87.73386300000192)",2,21,22615,439,17,31
SR22-02209376,Low Water Pressure Complaint,WBK,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/30/2022 02:23:26 PM,01/07/2023 05:34:17 PM,01/07/2023 05:34:17 PM,5115 N SPRINGFIELD AVE,,,,5115,N,SPRINGFIELD,AVE,false,false,,,14,39,,G010,1,17,1712,29,,14,6,12,1149516.573535379,1933775.030846466,41.974209001,-87.7255695,"(41.97420900094075, -87.7255695000019)",20,14,21849,127,38,39
SR22-02209046,Low Water Pressure Complaint,WBK,Alderman,DWM - Department of Water Management,Completed,Alderman's Office,12/30/2022 01:47:58 PM,01/06/2023 08:23:15 AM,01/06/2023 08:23:15 AM,2546 W 102ND PL,,,,2546,W,102ND,PL,false,false,,,72,19,,J046,1,22,2211,53,,13,6,12,1160998.04705701,1836611.354514793,41.707350001,-87.6860415,"(41.7073500009398, -87.6860415000019)",33,71,4447,661,42,19
SR22-02208240,Low Water Pressure Complaint,WBK,,DWM - Department of Water Management,Canceled,Internet,12/30/2022 12:24:43 PM,12/30/2022 01:09:26 PM,12/30/2022 01:09:26 PM,3828 S HONORE ST,,,,3828,S,HONORE,ST,false,false,,,59,12,,L030,1,09,0912,19,,12,6,12,1164572.184290202,1879176.437826302,41.824080001,-87.671754,"(41.824080000940235, -87.6717540000019)",37,56,14924,720,1,12
SR22-02208136,Low Water Pressure Complaint,WBK,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/30/2022 12:11:57 PM,01/09/2023 08:23:53 AM,01/09/2023 08:23:53 AM,10112 S MAPLEWOOD AVE,,,,10112,S,MAPLEWOOD,AVE,false,false,,,72,19,,J046,1,22,2211,53,,12,6,12,1161080.450050865,1837418.774529178,41.709564001,-87.6857175,"(41.70956400093983, -87.68571750000191)",33,71,4447,661,42,19
SR22-02206737,Low Water Pressure Complaint,WBK,,DWM - Department of Water Management,Completed,Internet,12/30/2022 09:03:21 AM,01/08/2023 08:51:52 AM,01/08/2023 08:51:52 AM,5011 W WABANSIA AVE,,,,5011,W,WABANSIA,AVE,false,false,,,25,37,,D018,3,25,2533,10,,9,6,12,1142602.106906108,1910765.328735714,41.911200001,-87.7515705,"(41.911200000940546, -87.7515705000019)",2,26,22615,523,45,37
SR22-02204357,Low Water Pressure Complaint,WBK,,DWM - Department of Water Management,Completed,Internet,12/29/2022 06:19:57 PM,03/02/2023 07:31:16 AM,03/02/2023 07:31:16 AM,4937 S PRAIRIE AVE,,,,4937,S,PRAIRIE,AVE,false,false,,,38,3,,Q033,2,02,0224,31,,18,5,12,1178974.240987271,1872191.036258726,41.804595001,-87.619131,"(41.80459500094019, -87.6191310000019)",10,4,21192,449,9,8
SR22-02203886,Low Water Pressure Complaint,WBK,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/29/2022 04:48:35 PM,01/25/2023 01:42:36 PM,01/25/2023 01:42:36 PM,3439 W BEACH AVE,,,,3439,W,BEACH,AVE,false,false,,,23,26,,H019,2,14,1422,9,,16,5,12,1152977.709953111,1909342.431667061,41.907096001,-87.7134915,"(41.90709600094055, -87.71349150000192)",5,24,4299,455,49,26
SR22-02202333,Low Water Pressure Complaint,WBK,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/29/2022 01:12:10 PM,01/12/2023 10:34:22 AM,01/12/2023 10:34:22 AM,9438 S HARVARD AVE,,,,9438,S,HARVARD,AVE,false,false,,,49,9,,P044,3,06,0634,39,,13,5,12,1175613.445730069,1842540.695034402,41.723307001,-87.632343,"(41.72330700093989, -87.63234300000191)",59,45,21554,187,13,11
