SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,Boundaries - Wards (2023-)
SR22-02210869,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/30/2022 08:16:11 PM,12/30/2022 08:19:18 PM,12/30/2022 08:19:18 PM,4300 W FORD CITY DR,,,,4300,W,FORD CITY,DR,false,false,,,65,18,,F040,3,08,0833,43,,20,6,12,1148729.204001526,1853504.419539838,41.753952001,-87.7305375,"(41.75395200094, -87.73053750000192)",8,63,4300,318,30,18
SR22-02210766,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/30/2022 07:37:37 PM,12/30/2022 07:52:50 PM,12/30/2022 07:52:50 PM,4300 W FORD CITY DR,,,,4300,W,FORD CITY,DR,false,false,,,65,18,,F040,3,08,0833,43,,19,6,12,1148729.204001526,1853504.419539838,41.753952001,-87.7305375,"(41.75395200094, -87.73053750000192)",8,63,4300,318,30,18
SR22-02210660,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/30/2022 07:01:47 PM,01/01/2023 09:20:48 PM,01/01/2023 09:20:48 PM,7318 S RIDGELAND AVE,,,,7318,S,RIDGELAND,AVE,false,false,,,43,7,,U039,2,03,0324,42,,19,6,12,1189006.412865484,1856697.536786893,41.761845001,-87.582834,"(41.76184500094002, -87.5828340000019)",24,39,22538,419,35,5
SR22-02210266,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/30/2022 05:14:11 PM,01/01/2023 09:34:55 PM,01/01/2023 09:34:55 PM,3936 W 85TH ST,,,,3936,W,85TH,ST,false,false,,,70,18,,G042,3,08,0834,36,,17,6,12,1151455.187944571,1847987.583364185,41.738760001,-87.7206915,"(41.73876000093995, -87.7206915000019)",8,69,4300,198,30,18
SR22-02210093,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/30/2022 04:32:37 PM,12/30/2022 05:08:55 PM,12/30/2022 05:08:55 PM,3926 N OLEANDER AVE,,,,3926,N,OLEANDER,AVE,false,false,,,17,38,,X113,3,16,1631,13,,16,6,12,1124953.134243938,1925056.858886873,41.950728001,-87.8160915,"(41.950728000940686, -87.81609150000189)",52,17,22254,392,19,38
SR22-02209981,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/30/2022 04:03:31 PM,01/02/2023 03:04:44 AM,01/02/2023 03:04:44 AM,7543 S KENWOOD AVE,,,,7543,S,KENWOOD,AVE,false,false,,,43,8,,T040,1,04,0411,12,,16,6,12,1186602.887752783,1855069.601875212,41.757435001,-87.5916945,"(41.75743500094004, -87.5916945000019)",61,39,21546,188,33,10
SR22-02209928,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/30/2022 03:51:04 PM,12/30/2022 03:59:51 PM,12/30/2022 03:59:51 PM,3939 N BROADWAY,,,,3939,N,BROADWAY,,false,false,,,6,46,,N013,2,19,1923,38,,15,6,12,1170141.549075245,1926540.99056739,41.953932001,-87.649938,"(41.95393200094073, -87.6499380000019)",53,57,21186,83,39,46
SR22-02209915,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Completed,Phone Call,12/30/2022 03:49:13 PM,12/31/2022 07:07:05 PM,12/31/2022 07:07:05 PM,2278 S BLUE ISLAND AVE,,,,2278,S,BLUE ISLAND,AVE,true,false,,SR22-02194543,31,25,,L027,3,10,1034,15,,15,6,12,1164993.142524712,1888992.727750048,41.851008001,-87.6699315,"(41.85100800094036, -87.66993150000191)",43,33,14920,126,26,25
SR22-02209756,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/30/2022 03:18:01 PM,12/30/2022 03:56:39 PM,12/30/2022 03:56:39 PM,3951 N OLEANDER AVE,,,,3951,N,OLEANDER,AVE,false,false,,,17,38,,X113,3,16,1631,13,,15,6,12,1125103.258969402,1925333.263534679,41.951484001,-87.8155335,"(41.95148400094066, -87.81553350000192)",52,17,22254,392,19,38
SR22-02209647,No Water Complaint,WBJ,311 City Services,DWM - Department of Water Management,Canceled,Phone Call,12/30/2022 02:55:33 PM,12/30/2022 03:40:08 PM,12/30/2022 03:40:08 PM,7543 S KENWOOD AVE,,,,7543,S,KENWOOD,AVE,false,false,,,43,8,,T040,1,04,0411,12,,14,6,12,1186602.887752783,1855069.601875212,41.757435001,-87.5916945,"(41.75743500094004, -87.5916945000019)",61,39,21546,188,33,10
