SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,Boundaries - Wards (2023-)
SR22-02207791,Paid Sick Leave Violation,PSL,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/30/2022 11:21:53 AM,02/10/2023 08:32:16 AM,02/10/2023 08:32:16 AM,233 E ERIE ST,,,,233,E,ERIE,ST,false,false,,,8,2,,Q021,3,18,1834,35,,11,6,12,1178062.560488825,1904758.459236158,41.893983001,-87.6214845,"(41.8939830009405, -87.62148450000191)",6,37,21182,158,36,2
SR22-02195239,Paid Sick Leave Violation,PSL,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/28/2022 10:11:07 AM,06/05/2023 12:31:14 PM,06/05/2023 12:31:14 PM,956 W FULLERTON AVE,,,,956,W,FULLERTON,AVE,false,false,,,7,43,,N016,3,19,1932,16,,10,4,12,1169280.582467087,1916251.871162954,41.925717001,-87.653403,"(41.925717000940615, -87.6534030000019)",16,68,21190,769,34,43
SR22-02179525,Paid Sick Leave Violation,PSL,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/23/2022 02:13:20 PM,02/10/2023 08:28:54 AM,02/10/2023 08:28:54 AM,7305 N ROGERS AVE,,,,7305,N,ROGERS,AVE,false,false,,,1,49,,L004,2,24,2424,33,,14,6,12,1161924.329444775,1948310.796388437,42.013845001,-87.6795345,"(42.01384500094088, -87.67953450000192)",9,10,21853,52,5,49
SR22-02159372,Paid Sick Leave Violation,PSL,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/19/2022 07:54:35 PM,12/20/2022 09:48:22 AM,12/20/2022 09:48:22 AM,6601 N RIDGE AVE,,,,6601,N,RIDGE,AVE,false,false,,,1,40,,L006,3,24,2432,28,,19,2,12,1162720.122219821,1943574.219383671,42.000831001,-87.67674,"(42.000831000940856, -87.67674000000191)",9,10,21853,242,27,40
SR22-02156486,Paid Sick Leave Violation,PSL,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/19/2022 12:00:34 PM,01/24/2023 09:27:36 AM,01/24/2023 09:27:36 AM,2301 W 51ST PL,,,,2301,W,51ST,PL,false,false,,,63,15,,K034,3,09,0932,19,,12,2,12,1161883.347582994,1870443.131244696,41.800171143,-87.681861358,"(41.80017114277124, -87.68186135817082)",37,61,14924,775,3,15
SR22-02154651,Paid Sick Leave Violation,PSL,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,12/19/2022 08:32:24 AM,06/20/2023 11:47:12 AM,06/20/2023 11:47:12 AM,3507 W 51ST ST,,,,3507,W,51ST,ST,false,false,,,63,14,,H034,2,08,0822,11,,8,2,12,1153600.119024243,1869865.392057304,41.798754001,-87.712254,"(41.79875400094015, -87.71225400000193)",56,61,22248,776,8,14
SR22-02110992,Paid Sick Leave Violation,PSL,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/09/2022 04:19:05 PM,01/18/2023 10:17:41 AM,01/18/2023 10:17:41 AM,11020 S INDIANA AVE,,,,11020,S,INDIANA,AVE,false,false,,,49,9,,Q048,1,05,0513,43,,16,6,12,1179442.187154114,1831808.134557742,41.693769001,-87.618645,"(41.693769000939824, -87.6186450000019)",19,45,21861,237,43,11
SR22-02101524,Paid Sick Leave Violation,PSL,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/08/2022 08:33:47 AM,01/19/2023 08:56:58 AM,01/19/2023 08:56:58 AM,141 W JACKSON BLVD,,,,141,W,JACKSON,BLVD,false,false,,,32,34,,P023,2,01,0122,9,,8,5,12,1175172.373760395,1898729.318925854,41.877504001,-87.63228,"(41.877504000940455, -87.63228000000191)",29,38,14912,92,36,34
SR22-02097762,Paid Sick Leave Violation,PSL,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/07/2022 01:12:39 PM,01/19/2023 08:54:45 AM,01/19/2023 08:54:45 AM,141 W JACKSON BLVD,,,,141,W,JACKSON,BLVD,false,false,,,32,34,,P023,2,01,0122,9,,13,4,12,1175172.373760395,1898729.318925854,41.877504001,-87.63228,"(41.877504000940455, -87.63228000000191)",29,38,14912,92,36,34
SR22-02089973,Paid Sick Leave Violation,PSL,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/06/2022 11:50:02 AM,01/12/2023 01:29:09 PM,01/12/2023 01:29:09 PM,1620 W HARRISON ST,,,,1620,W,HARRISON,ST,false,false,,,28,27,,L023,3,12,1231,10,,11,3,12,1165582.168859505,1897623.099268072,41.874678001,-87.667524,"(41.874678000940435, -87.6675240000019)",28,29,21184,90,46,27
SR22-02088751,Paid Sick Leave Violation,PSL,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,12/06/2022 10:00:15 AM,01/06/2023 01:54:56 PM,01/06/2023 01:54:56 PM,4631 N PAULINA ST,,,,4631,N,PAULINA,ST,false,false,,,3,47,,L011,1,19,1912,31,,10,3,12,1164516.717685208,1930970.504412442,41.966208001,-87.6704895,"(41.966208000940725, -87.67048950000192)",15,31,22616,559,18,47
