SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,Boundaries - Wards (2023-)
SR22-02206917,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/30/2022 09:30:21 AM,04/27/2023 10:15:32 AM,04/27/2023 10:15:32 AM,1916 S PULASKI RD,,,,1916,S,PULASKI,RD,false,false,,,29,24,,F026,1,10,1012,37,,9,6,12,1149924.875973823,1890170.106453482,41.854545001,-87.725205,"(41.85454500094036, -87.72520500000194)",57,30,21569,753,14,24
SR22-02206669,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/30/2022 08:54:27 AM,03/23/2023 11:17:11 AM,03/23/2023 11:17:11 AM,4824 W LAKE ST,,,,4824,W,LAKE,ST,false,false,,,25,28,,D022,3,15,1532,42,,8,6,12,1143941.349835877,1901925.690167262,41.886918001,-87.7468725,"(41.886918000940476, -87.74687250000191)",32,26,22216,696,23,28
SR22-02206557,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,12/30/2022 08:35:30 AM,05/13/2023 11:46:21 AM,05/13/2023 11:46:21 AM,3317 E 95TH ST,,,,3317,E,95TH,ST,false,false,,,51,10,,X044,3,04,0431,7,,8,6,12,1199874.451648851,1842562.048125926,41.722789118,-87.543477842,"(41.722789118311205, -87.54347784174847)",25,48,21202,526,47,6
SR22-02197051,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/28/2022 02:23:19 PM,02/10/2023 08:30:40 AM,02/10/2023 08:30:40 AM,118 S CLINTON ST,,,,118,S,CLINTON,ST,false,false,,,28,34,,O023,2,01,0121,16,,14,4,12,1172667.645475745,1899594.541037522,41.879934001,-87.641451,"(41.879934000940445, -87.64145100000192)",45,29,4452,786,36,34
SR22-02193365,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/27/2022 10:22:40 PM,02/15/2023 09:20:09 AM,02/15/2023 09:20:09 AM,346 E 95TH ST,,,,346,E,95TH,ST,false,false,,,49,6,,Q044,3,06,0633,47,,22,3,12,1180471.795270891,1842160.9526129,41.722155001,-87.614559,"(41.7221550009399, -87.61455900000192)",61,45,21546,554,43,4
SR22-02189904,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/27/2022 10:46:00 AM,02/03/2023 11:26:54 AM,02/03/2023 11:26:54 AM,1725 W HARRISON ST,,,,1725,W,HARRISON,ST,false,false,,,28,27,,L024,3,12,1231,10,,10,3,12,1164856.657944254,1897138.63452517,41.873364001,-87.6702015,"(41.87336400094044, -87.67020150000191)",28,29,21184,5,46,27
SR22-02178874,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Internet,12/23/2022 12:16:10 PM,01/03/2023 02:30:28 PM,01/03/2023 02:30:28 PM,4824 W LAKE ST,,,,4824,W,LAKE,ST,false,false,,,25,28,,D022,3,15,1532,42,,12,6,12,1143941.349835877,1901925.690167262,41.886918001,-87.7468725,"(41.886918000940476, -87.74687250000191)",32,26,22216,696,23,28
SR22-02177315,Wage Complaint,MWC,311 City Services,BACP - Business Affairs and Consumer Protection,Completed,Phone Call,12/23/2022 06:22:26 AM,02/10/2023 08:27:23 AM,02/10/2023 08:27:23 AM,3001 W JACKSON BLVD,,,,3001,W,JACKSON,BLVD,false,false,,,27,28,,I023,2,11,1124,32,,6,6,12,1156387.578598381,1898442.399912099,41.877117001,-87.7012605,"(41.877117000940444, -87.70126050000192)",28,28,21184,737,23,28
SR22-02168579,Wage Complaint,MWC,BACP - Business Affairs and Consumer Protection,BACP - Business Affairs and Consumer Protection,Completed,E-Mail,12/21/2022 12:47:53 PM,04/10/2023 10:03:23 AM,04/10/2023 10:03:23 AM,5841 S MARYLAND AVE,,,,5841,S,MARYLAND,AVE,false,false,,,41,5,,S035,3,02,0235,15,,12,4,12,1182914.055978877,1866288.111915507,41.788306134,-87.604865147,"(41.78830613441023, -87.60486514746361)",60,8,22260,154,33,3
SR22-02165940,Wage Complaint,MWC,,BACP - Business Affairs and Consumer Protection,Completed,Mobile Device,12/21/2022 01:08:10 AM,01/17/2023 12:56:20 PM,01/17/2023 12:56:20 PM,1010 N HOOKER ST,,,,1010,N,HOOKER,ST,false,false,,,8,27,,N020,2,18,1822,35,,1,4,12,1170622.893368845,1907036.423705197,41.900400001,-87.648741,"(41.900400000940536, -87.6487410000019)",49,37,22620,108,46,27
